date,temperature,humidite
2025-10-06 17:00:00,14.6,85
2025-10-06 17:10:00,14.6,85
2025-10-06 17:20:00,14.6,85
2025-10-06 17:30:00,14.6,86
2025-10-06 17:40:00,14.6,86
2025-10-06 17:50:00,14.5,86
2025-10-06 18:00:00,14.5,86
2025-10-06 18:10:00,14.4,86
2025-10-06 18:20:00,14.4,87
2025-10-06 18:30:00,14.4,87
2025-10-06 18:40:00,14.4,87
2025-10-06 18:50:00,14.5,87
2025-10-06 19:00:00,14.6,87
2025-10-06 19:10:00,14.6,87
2025-10-06 19:20:00,14.6,87
2025-10-06 19:30:00,14.6,87
2025-10-06 19:40:00,14.6,87
2025-10-06 19:50:00,14.6,87
2025-10-06 20:00:00,14.6,88
2025-10-06 20:10:00,14.5,88
2025-10-06 20:20:00,14.4,89
2025-10-06 20:30:00,14.3,90
2025-10-06 20:40:00,14.2,89
2025-10-06 20:50:00,14.1,90
2025-10-06 21:00:00,14.1,90
2025-10-06 21:10:00,14.1,90
2025-10-06 21:20:00,14.1,90
2025-10-06 21:30:00,14.1,90
2025-10-06 21:40:00,14.1,90
2025-10-06 21:50:00,14.1,90
2025-10-06 22:00:00,14.1,90
2025-10-06 22:10:00,14,90
2025-10-06 22:20:00,14,90
2025-10-06 22:30:00,13.9,91
2025-10-06 22:40:00,13.9,91
2025-10-06 22:50:00,13.9,91
2025-10-06 23:00:00,13.8,91
2025-10-06 23:10:00,13.8,91
2025-10-06 23:20:00,13.8,91
2025-10-06 23:30:00,13.7,91
2025-10-06 23:40:00,13.7,91
2025-10-06 23:50:00,13.7,92
2025-10-07 00:00:00,13.6,92
2025-10-07 00:10:00,13.6,92
2025-10-07 00:30:00,13.5,92
2025-10-07 00:40:00,13.4,92
2025-10-07 00:50:00,13.4,92
2025-10-07 01:00:00,13.3,92
2025-10-07 01:10:00,13.3,92
2025-10-07 01:20:00,13.3,92
2025-10-07 01:30:00,13.2,92
2025-10-07 01:40:00,13.2,92
2025-10-07 01:50:00,13.2,92
2025-10-07 02:00:00,13.1,92
2025-10-07 02:10:00,13.1,92
2025-10-07 02:20:00,13,92
2025-10-07 02:30:00,13,92
2025-10-07 02:40:00,13,92
2025-10-07 02:50:00,13,92
2025-10-07 03:00:00,12.9,93
2025-10-07 03:10:00,12.9,93
2025-10-07 03:20:00,12.9,93
2025-10-07 03:30:00,12.9,93
2025-10-07 03:40:00,12.9,93
2025-10-07 03:50:00,12.8,93
2025-10-07 04:00:00,12.7,93
2025-10-07 04:10:00,12.6,93
2025-10-07 04:20:00,12.7,93
2025-10-07 04:30:00,12.6,93
2025-10-07 04:40:00,12.6,93
2025-10-07 04:50:00,12.4,93
2025-10-07 05:00:00,12.4,93
2025-10-07 05:10:00,12.4,93
2025-10-07 05:20:00,12.4,93
2025-10-07 05:30:00,12.4,93
2025-10-07 05:40:00,12.4,93
2025-10-07 05:50:00,12.3,94
2025-10-07 06:00:00,12.3,94
2025-10-07 06:10:00,12.3,94
2025-10-07 06:20:00,12.3,94
2025-10-07 06:30:00,12.3,94
2025-10-07 06:40:00,12.4,94
2025-10-07 06:50:00,12.4,94
2025-10-07 07:00:00,12.4,94
2025-10-07 07:10:00,12.4,94
2025-10-07 07:20:00,12.6,95
2025-10-07 07:30:00,12.6,94
2025-10-07 07:40:00,12.7,94
2025-10-07 07:50:00,12.8,94
2025-10-07 08:00:00,13,94
2025-10-07 08:10:00,13.1,93
2025-10-07 08:40:00,13.6,91
2025-10-07 08:50:00,13.8,91
2025-10-07 09:00:00,13.8,89
2025-10-07 09:10:00,14,89
2025-10-07 09:20:00,14.1,88
2025-10-07 09:30:00,14,87
2025-10-07 09:40:00,14.1,87
2025-10-07 09:50:00,14.2,87
2025-10-07 10:00:00,14.4,87
2025-10-07 10:10:00,14.6,86
2025-10-07 10:20:00,14.9,87
2025-10-07 10:30:00,15,86
2025-10-07 10:40:00,15.1,86
2025-10-07 10:50:00,15.2,86
2025-10-07 11:00:00,15.1,85
2025-10-07 11:20:00,15.3,84
2025-10-07 11:30:00,15.3,84
2025-10-07 11:40:00,15.6,84
2025-10-07 11:50:00,15.7,84
2025-10-07 12:00:00,15.7,83
2025-10-07 12:10:00,15.7,82
2025-10-07 12:20:00,15.8,82
2025-10-07 12:30:00,15.8,81
2025-10-07 12:40:00,15.8,79
2025-10-07 12:50:00,15.9,80
2025-10-07 13:00:00,16.4,81
2025-10-07 13:10:00,16.7,78
2025-10-07 15:40:00,16.6,81
2025-10-07 15:50:00,16.7,80
2025-10-07 16:00:00,16.7,80
2025-10-07 16:10:00,16.6,80
2025-10-07 16:20:00,16.2,81
2025-10-07 16:30:00,15.8,81
2025-10-07 16:40:00,15.4,82
2025-10-07 16:50:00,15.2,83
2025-10-07 17:00:00,14.8,84
2025-10-07 17:10:00,14.6,86
2025-10-07 17:20:00,14.2,86
2025-10-07 17:30:00,13.8,87
2025-10-07 17:40:00,13.3,88
2025-10-07 17:50:00,13.1,89
2025-10-07 18:00:00,12.7,90
2025-10-07 18:10:00,12.6,91
2025-10-07 18:20:00,12.2,91
2025-10-07 18:30:00,11.9,92
2025-10-07 18:40:00,12,92
2025-10-07 18:50:00,11.9,92
2025-10-07 19:00:00,11.7,93
2025-10-07 19:10:00,11.6,93
2025-10-07 19:20:00,11.6,94
2025-10-07 19:30:00,11.7,94
2025-10-07 19:40:00,11.7,94
2025-10-07 19:50:00,11.6,94
2025-10-07 20:00:00,11.6,94
2025-10-07 20:10:00,11.4,94
2025-10-07 20:20:00,11.1,94
2025-10-07 20:30:00,11,94
2025-10-07 20:40:00,10.6,94
2025-10-07 20:50:00,10.5,94
2025-10-07 21:00:00,10.2,94
2025-10-07 21:10:00,9.9,94
2025-10-07 21:20:00,9.7,94
2025-10-07 21:30:00,9.7,95
2025-10-07 21:40:00,9.6,95
2025-10-07 21:50:00,9.5,95
2025-10-07 22:00:00,9.2,94
2025-10-07 22:10:00,8.9,95
2025-10-07 22:20:00,8.7,95
2025-10-07 22:30:00,8.8,95
2025-10-07 22:40:00,8.7,95
2025-10-07 22:50:00,8.6,95
2025-10-07 23:00:00,8.6,96
2025-10-07 23:10:00,8.4,95
2025-10-07 23:20:00,8.6,96
2025-10-07 23:30:00,8.8,96
2025-10-07 23:40:00,8.8,96
2025-10-07 23:50:00,8.7,96
2025-10-08 00:00:00,8.4,96
2025-10-08 00:10:00,8.3,96
2025-10-08 00:20:00,8.1,96
2025-10-08 00:30:00,7.8,96
2025-10-08 00:40:00,7.7,96
2025-10-08 00:50:00,7.7,96
2025-10-08 01:00:00,7.6,96
2025-10-08 01:10:00,7.4,96
2025-10-08 01:20:00,7.3,96
2025-10-08 01:30:00,7.3,96
2025-10-08 01:40:00,7.1,96
2025-10-08 01:50:00,6.8,96
2025-10-08 02:00:00,6.9,97
2025-10-08 02:10:00,6.8,96
2025-10-08 02:20:00,6.6,96
2025-10-08 02:30:00,6.5,97
2025-10-08 02:40:00,6.4,96
2025-10-08 02:50:00,6.3,97
2025-10-08 03:00:00,6.5,97
2025-10-08 03:10:00,6.5,97
2025-10-08 03:20:00,6.6,97
2025-10-08 03:30:00,6.9,98
2025-10-08 03:40:00,7.1,98
2025-10-08 03:50:00,7.3,98
2025-10-08 04:00:00,7.4,98
2025-10-08 04:10:00,7.7,98
2025-10-08 04:20:00,7.9,98
2025-10-08 04:30:00,8.1,98
2025-10-08 04:40:00,8.2,98
2025-10-08 04:50:00,8.2,98
2025-10-08 05:00:00,8.3,98
2025-10-08 05:10:00,8.3,98
2025-10-08 05:20:00,8.3,98
2025-10-08 05:30:00,8.3,98
2025-10-08 05:50:00,8.5,98
2025-10-08 06:00:00,8.6,98
2025-10-08 06:10:00,8.4,97
2025-10-08 06:20:00,8.1,97
2025-10-08 06:30:00,7.9,97
2025-10-08 06:40:00,7.8,97
2025-10-08 06:50:00,7.7,98
2025-10-08 07:00:00,7.7,98
2025-10-08 07:10:00,8,98
2025-10-08 07:20:00,8.6,99
2025-10-08 07:30:00,9.1,99
2025-10-08 07:40:00,9.6,99
2025-10-08 07:50:00,10.2,99
2025-10-08 08:00:00,10.6,99
2025-10-08 08:10:00,11,99
2025-10-08 08:20:00,11.4,99
2025-10-08 08:30:00,11.9,99
2025-10-08 08:40:00,12.4,99
2025-10-08 08:50:00,12.9,99
2025-10-08 09:00:00,13.3,99
2025-10-08 09:10:00,13.6,98
2025-10-08 09:20:00,13.8,98
2025-10-08 09:30:00,13.9,98
2025-10-08 09:40:00,14.1,98
2025-10-08 09:50:00,14.3,97
2025-10-08 10:00:00,14.6,96
2025-10-08 10:10:00,14.8,95
2025-10-08 10:20:00,15.2,92
2025-10-08 10:30:00,15.1,91
2025-10-08 10:40:00,15.4,90
2025-10-08 10:50:00,15.8,89
2025-10-08 11:00:00,15.6,86
2025-10-08 11:10:00,15.4,87
2025-10-08 11:20:00,15.8,85
2025-10-08 11:30:00,15.8,84
2025-10-08 11:40:00,15.8,84
2025-10-08 11:50:00,16.3,84
2025-10-08 12:00:00,16.1,83
2025-10-08 12:10:00,16,82
2025-10-08 12:20:00,16.1,81
2025-10-08 12:30:00,16.1,79
2025-10-08 12:40:00,16.2,79
2025-10-08 12:50:00,16.3,79
2025-10-08 13:00:00,16.3,79
2025-10-08 13:10:00,17.1,76
2025-10-08 13:20:00,16.9,75
2025-10-08 13:30:00,16.6,75
2025-10-08 13:40:00,16.5,76
2025-10-08 13:50:00,16.2,77
2025-10-08 14:00:00,16.1,79
2025-10-08 14:10:00,15.9,80
2025-10-08 14:20:00,15.9,78
2025-10-08 14:30:00,16,78
2025-10-08 14:40:00,15.9,78
2025-10-08 14:50:00,15.9,78
2025-10-08 15:00:00,15.8,79
2025-10-08 15:10:00,15.8,79
2025-10-08 15:20:00,15.7,80
2025-10-08 15:30:00,15.6,81
2025-10-08 15:40:00,15.5,82
2025-10-08 15:50:00,15.5,82
2025-10-08 16:00:00,15.4,83
2025-10-08 16:10:00,15.4,83
2025-10-08 16:20:00,15.2,84
2025-10-08 16:30:00,15.2,85
2025-10-08 16:40:00,15.1,85
2025-10-08 16:50:00,15,86
2025-10-08 17:00:00,14.9,86
2025-10-08 17:10:00,14.9,87
2025-10-08 17:20:00,14.8,87
2025-10-08 17:30:00,14.7,88
2025-10-08 17:40:00,14.7,88
2025-10-08 17:50:00,14.6,88
2025-10-08 18:00:00,14.5,88
2025-10-08 18:10:00,14.4,88
2025-10-08 18:20:00,14.4,89
2025-10-08 18:30:00,14.3,89
2025-10-08 18:40:00,14.3,89
2025-10-08 18:50:00,14.2,90
2025-10-08 19:00:00,14.2,90
2025-10-08 19:10:00,14.1,91
2025-10-08 19:20:00,14.1,91
2025-10-08 19:30:00,14,91
2025-10-08 19:40:00,13.9,91
2025-10-08 19:50:00,13.9,92
2025-10-08 20:00:00,13.9,92
2025-10-08 20:10:00,13.9,92
2025-10-08 20:20:00,13.9,92
2025-10-08 20:30:00,13.9,92
2025-10-08 20:40:00,13.7,92
2025-10-08 20:50:00,13.4,92
2025-10-08 21:00:00,12.9,91
2025-10-08 21:10:00,12.6,92
2025-10-08 21:20:00,12.4,93
2025-10-08 21:30:00,12.4,94
2025-10-08 21:40:00,12.1,93
2025-10-08 21:50:00,11.8,94
2025-10-08 22:00:00,11.7,95
2025-10-08 22:10:00,11.7,95
2025-10-08 22:20:00,11.6,95
2025-10-08 22:30:00,11.6,95
2025-10-08 22:40:00,11.6,96
2025-10-08 22:50:00,11.6,96
2025-10-08 23:00:00,11.7,96
2025-10-08 23:10:00,11.8,96
2025-10-08 23:20:00,11.8,96
2025-10-08 23:30:00,11.9,96
2025-10-08 23:40:00,12,96
2025-10-08 23:50:00,12.1,96
2025-10-09 00:00:00,12,96
2025-10-09 00:10:00,11.8,96
2025-10-09 00:20:00,11.7,96
2025-10-09 00:30:00,11.5,96
2025-10-09 00:40:00,11.1,95
2025-10-09 00:50:00,10.8,96
2025-10-09 01:00:00,10.6,96
2025-10-09 01:10:00,10.4,96
2025-10-09 01:20:00,10,96
2025-10-09 01:30:00,9.7,96
2025-10-09 01:40:00,9.8,97
2025-10-09 01:50:00,9.9,97
2025-10-09 02:00:00,9.5,96
2025-10-09 02:10:00,9.2,96
2025-10-09 02:20:00,9,96
2025-10-09 02:30:00,8.8,96
2025-10-09 02:40:00,8.6,96
2025-10-09 02:50:00,8.6,97
2025-10-09 03:00:00,8.6,97
2025-10-09 03:10:00,8.4,97
2025-10-09 03:20:00,8.7,97
2025-10-09 03:30:00,8.7,97
2025-10-09 03:40:00,8.7,97
2025-10-09 03:50:00,8.7,97
2025-10-09 04:00:00,8.9,98
2025-10-09 04:10:00,9.2,98
2025-10-09 04:20:00,9.4,98
2025-10-09 04:30:00,9.6,98
2025-10-09 04:40:00,9.7,98
2025-10-09 04:50:00,9.7,98
2025-10-09 05:00:00,9.7,98
2025-10-09 05:10:00,9.4,97
2025-10-09 05:20:00,9.4,98
2025-10-09 05:30:00,9.4,98
2025-10-09 05:40:00,9.3,98
2025-10-09 05:50:00,9.4,98
2025-10-09 06:00:00,9.9,99
2025-10-09 06:10:00,10.2,98
2025-10-09 06:20:00,10.8,99
2025-10-09 06:30:00,11.2,99
2025-10-09 06:40:00,11.3,98
2025-10-09 06:50:00,11.1,98
2025-10-09 07:00:00,10.9,98
2025-10-09 07:10:00,10.9,98
2025-10-09 07:20:00,11.2,99
2025-10-09 07:30:00,11.4,98
2025-10-09 07:40:00,11.8,99
2025-10-09 07:50:00,12.4,99
2025-10-09 08:00:00,13.4,100
2025-10-09 08:10:00,13.7,99
2025-10-09 08:20:00,13.9,99
2025-10-09 08:30:00,14.4,99
2025-10-09 08:40:00,14.7,99
2025-10-09 08:50:00,14.9,98
2025-10-09 09:00:00,15.2,98
2025-10-09 09:10:00,15.4,98
